learning_rate,learning_rate_energy,lamb_ortho,Loss_Orthogonality,Loss_DE,Loss_Energy        
1.1826268359215671e-05,0.0015565315432741547,552.8960311524253,0.0167087335139513,0.029299777001142505,0.008687257766723633
0.00012356910761126397,0.013647166163530709,158.36052011305742,0.015470639802515508,0.0046778032556176186,0.0004916191101074219
7.233736399477126e-05,0.5188997987837493,101.96741777715974,0.01524614542722702,0.003638533875346184,0.00043336552334949374
0.0010869017807309718,0.0026130302656197013,1037.9974921207136,0.01613449677824974,0.02263148687779903,0.007084846496582031
0.0017969167656947962,0.47772722872098594,1513.9693037496045,0.016270779073238373,0.031941112130880356,0.010384798049926758
0.0019277030996129737,1.7784041606615252e-05,4347.461142701532,0.01632368192076683,0.9467540979385376,0.6323950886726379
0.00144032629223006,2.8251459200907098e-05,3383.7968071529453,0.016233747825026512,0.874964714050293,0.6155111789703369
0.0010001359584998653,3.0454799278280084e-05,900.5489025316296,0.015691809356212616,0.826801061630249,0.6075806021690369
0.047486536154076935,0.0002360294077561156,870.8487916066488,0.011631950736045836,29.95860290527344,0.6289747953414917
0.002333384795704043,0.0007581718959545743,757.0964176302244,0.016053181141614914,0.02575366571545601,0.00804758071899414
0.203703810347426,0.6405729594051365,193.76553739903977,0.998924434185028,0.4252097606658935,0.2396180629730225
0.000529174670835416,0.0015999720764812897,2502.5125138863204,0.01648765057325363,0.02849189192056656,0.010650953277945518
0.0005227803078560807,0.12684741565760468,6181.827575479532,0.0171806663274765,0.060192614793777466,0.02591308020055294
0.0003733720705927456,0.00011261074495351858,1965.1088322504445,0.015941256657242775,0.4800994396209717,0.4586687684059143
0.002112522485355853,0.0013159676540700075,1131.951709554413,0.016160795465111732,0.030684836208820343,0.01163498591631651
0.00517792189718367,0.1969698935985858,216.92836946648225,0.015293844044208528,0.005872631445527077,0.007273276802152395
0.8786963075747506,0.00012475781793755238,1890.885590008373,0.9855328798294068,1.011347770690918,0.6665835380554199
5.6020035260056616e-05,0.05229335006813998,1257.677738331153,0.01632262021303177,0.021479923278093335,0.002855062484741211
0.06749384860099698,0.42615485422838906,2565.9602983671216,0.01049963105469942,166024.546875,0.6042182445526123
0.005176391449576046,0.011416048708999729,421.3264728419887,0.015297845005989076,0.0453462116420269,0.03390638157725334
0.04839680938504267,0.00011368781509595736,4195.585408341027,0.01114846020936966,731.8489379882812,0.6468104124069214
0.0005660934455203199,0.011598537204615615,6919.309338596881,0.017254609614610672,0.06695913523435593,0.02886541746556759
0.000326900695317159,0.00039604962172436,1994.6066867630748,0.016037750989198685,0.04204054176807403,0.1062784194946289
0.0032447191956569885,0.42761829390339007,143.65656180074822,0.01546964142471552,0.00569137604907155,0.001652320264838636
0.0007617115898770649,0.08552746902908946,3363.304068441994,0.016893021762371063,0.05312086269259453,0.02170507237315178
1.350979684265134e-05,0.016709512531840637,168.78299351849728,0.016196798533201218,0.019474416971206665,0.0025610129814594984
0.0006246547048118952,0.02818821222777831,550.0055374126861,0.015962669625878334,0.014147109352052212,0.002133449073880911
0.13397220883234795,0.00011189315522397788,3269.0514793316097,0.9995238184928894,0.005391233135014772,0.6665921211242676
2.7951631900700575e-05,1.381646457873996e-05,177.89190896802546,0.015467509627342224,0.9158031940460204,0.63959801197052
0.09440990368798542,9.845863875827194e-05,371.1919650365761,0.9996040463447572,0.004053544253110886,0.6666010618209839
0.45544006899763,0.0010208017050151862,471.2436469117329,0.980208694934845,6.334525108337402,0.665986180305481
0.000699450333270702,0.0039560307778901006,434.9343933275273,0.015915172174572945,0.013204343616962433,0.002046346664428711
0.007790538342543035,0.007822203096774002,605.6579446410753,0.01256707776337862,5.991069316864014,0.4063705801963806
0.007603214352524263,0.005110282395458534,4136.054281222293,0.015878794714808464,0.3552897572517395,0.0868678092956543
0.09609320914935654,0.03832927447120969,719.2016295835715,0.9996338486671448,0.005384350195527077,0.6411138772964478
0.0004280928127169073,0.00014201692828593647,9260.102024348427,0.016865944489836693,0.4291226267814636,0.4072466790676117
0.3418568178379284,0.0006421602817627718,2213.6361721900184,0.9949809312820436,1.384229302406311,0.66623854637146
0.03045327621848414,0.3700729785182093,2151.2039432536712,0.010142425075173378,45.24091339111328,0.6832310557365417
0.0001671746795214495,0.00035210911143837483,2838.582410381902,0.017894238233566284,0.06593827158212662,0.14417552947998047
0.0005643661865944649,0.022340427520731485,275.5782796705443,0.015780098736286163,0.009751390665769575,0.0009594758739694952
0.07992550268144889,0.0002637273780897846,6279.5390122245635,0.9993455410003662,0.004984756466001272,0.6664908528327942
2.9941557199493824e-05,1.7662103239719512e-05,3503.5545358190875,0.0164207573980093,0.9330949783325196,0.6321690082550049
1.034028639859822e-05,0.006070196654385559,2974.2739265417267,0.01787528395652771,0.07386314123868942,0.04010407254099846
0.0010779284178079123,0.35760380592121965,4494.74294220467,0.017044896259903908,0.07202646881341934,0.02904566191136837
6.533265917968179e-05,2.6617980339862555e-05,3991.1701929286114,0.016068212687969208,0.8682076334953308,0.6150332093238831
0.0010471486078746834,0.00011385243201202158,197.4039613238478,0.01509095262736082,0.4723495841026306,0.4606034457683563
0.008730118408230824,0.0018146732326078496,2822.322028164678,0.011764531955122948,10.348418235778809,0.5191033482551575
0.7612084355618715,0.011934467256334527,175.047613633193,0.9785516262054444,2.4022140502929688,0.6587103605270386
0.004169886863405399,5.747499662642412e-05,103.13936519940256,0.010462328791618347,13.395013809204102,0.6473575234413147
0.74013724176886,0.009455394952345526,3886.475581800731,0.9811463952064514,1.055958271026611,0.6603630781173706
0.74013724176886,0.009455394952345526,3886.475581800731,0.9811463952064514,1.055958271026611,0.6603630781173706
0.4656676296384691,1.8496692617214637e-05,770.9740708328568,0.3998579680919647,56.94575881958008,0.6666543483734131
0.030786353622389823,0.012138501576329636,173.77678124596554,0.01172290090471506,23.80863380432129,0.5309527516365051
0.0004086516352551355,0.18159526710129364,376.0669952682948,0.015787623822689056,0.01050504483282566,0.0010537307243794205
0.0050994933543108655,0.06128468671032569,849.9534276253862,0.015918565914034843,0.0421375147998333,0.02301677130162716
0.24642404981708044,0.00016172868446680223,1417.848391304093,0.9987208247184752,0.06352499127388,0.6665588617324829
1.150007731396896e-05,0.8888887948997121,163.26251548913353,0.016241582110524178,0.020772576332092285,0.0027894973754882812
0.7352343555577979,1.310548157571364e-05,129.11108885889993,0.991657555103302,2.9489729404449463,0.6666579246520996
0.2755440396454689,4.0046615585195024e-05,1010.6814540070294,0.9983247518539428,0.16732388734817505,0.6666399836540222
4.451104767448091e-05,0.00785245684470972,301.27720088046476,0.01593920588493347,0.012303253635764122,0.0012656848412007091
0.00148079520577938,0.011327946805040876,3246.3363278741276,0.016730422154068947,0.054909706115722656,0.021392345428466797
8.579132527771657e-05,0.0008531793399714634,632.5909066906889,0.01604611612856388,0.01333622820675373,9.663899982115254e-05
7.683655823393607e-05,2.653293255486001e-05,259.99245707617416,0.015249783173203468,0.8425392508506775,0.6148996949195862
0.00451445641766063,0.019863099754366825,1941.004840427232,0.016315484419465065,0.1062072142958641,0.02548559568822384
1.0173884517640144e-05,0.013908126564588296,2222.0817459141504,0.017772573977708817,0.06740940362215042,0.03604793548583984
0.0002254380887256593,0.7183339429173948,1910.113586987352,0.016174111515283585,0.01954272948205471,0.0028928916435688734
